designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
1620,1620 Geographos (1951 RA),15.27,2.3472263753,5.2485577338,0.0333047312,0.11597470000357145,16.7374296551,28,1
1863,1863 Antinous (1948 EA),15.32,2.29379698,5.1290859738,0.1742218501,0.18255148494999998,18.0439196389,6,0
1915,1915 Quetzalcoatl (1953 EA),18.38,0.5604733623,1.2532565376,0.0253323011,0.19961789186666667,19.5199994152,21,0
1917,1917 Cuyo (1968 AA),14.38,3.536347843,7.907514169,0.0729436121,0.11865149786666666,16.4047887916,6,0
2063,2063 Bacchus (1977 HB),17.21,0.9606274149,2.1480282008,0.0677525193,0.1309815611787879,16.1454613235,33,0
2100,2100 Ra-Shalom (1978 RA),16.24,1.5016024791,3.3576852183,0.1494141873,0.17519032908688517,15.3510559219,61,0
2102,2102 Tantalus (1975 YA),15.99,1.6848256925,3.7673847787,0.0369610986,0.10230931013571429,35.0430623923,14,1
2201,2201 Oljato (1947 XC),15.32,2.29379698,5.1290859738,0.084888162,0.13859233453124997,25.6795609999,16,1
2340,2340 Hathor (1976 UA),20.41,0.2200670271,0.4920848322,0.0052923877,0.27838085955000014,29.4515626955,152,1
887,887 Alinda (A918 AA),13.82,4.5767266723,10.2338719537,0.0821977284,0.12843392533333334,11.2689537669,3,0
1627,1627 Ivar (1929 SH),12.79,7.3545308935,16.4452310205,0.1407388676,0.15972330786666666,7.8319947877,6,0
1943,1943 Anteros (1973 EC),15.66,1.9613494437,4.3857106837,0.0636292288,0.09520392145833334,7.542126512,12,0
2101,2101 Adonis (1936 CA),18.69,0.4859090375,1.0865256386,0.0148228541,0.09764462939999999,30.1168741089,16,1
2135,2135 Aristaeus (1977 HA),18.05,0.6524616298,1.4589485569,0.0297336088,0.2857217570475,29.6606869628,40,1
433,433 Eros (A898 PA),10.4,22.1082810359,49.435619262,0.1494623094,0.31753473528529413,6.0840524046,34,0
1685,1685 Toro (1948 OA),14.26,3.7372743191,8.3567994282,0.0740212591,0.14482832655666664,18.0866234247,30,0
2062,2062 Aten (1976 AA),17.11,1.0059003902,2.249261651,0.1139111653,0.26356541628532115,21.3545136138,109,0
2329,2329 Orthos (1976 WA),14.57,3.2400743539,7.2450265076,0.0949586408,0.1492605239625,23.0928141511,8,0
1221,1221 Amor (1932 EA1),17.37,0.8923905787,1.9954459964,0.1052770428,0.131028708085,11.0809325481,20,0
1566,1566 Icarus (1949 MA),16.53,1.313877806,2.9379200884,0.0395614418,0.09935800001111113,34.1302242146,18,1
1580,1580 Betulia (1950 KA),14.54,3.2851482781,7.345814866,0.1298026424,0.1655458929142857,28.870736035,7,0
1862,1862 Apollo (1932 HA),16.09,1.6089960451,3.5978245324,0.0282672878,0.1021378017,23.0318518079,22,1
1865,1865 Cerberus (1971 UA),16.77,1.1763998937,2.6305101311,0.1630575672,0.16786909396,17.3288714227,10,0
1866,1866 Sisyphus (1972 XA),12.47,8.5222638645,19.0563613233,0.1028837398,0.14736122744285715,27.8281414502,7,0
1981,1981 Midas (1973 EA),15.28,2.3364418497,5.2244428015,0.0297913772,0.09943500509999999,31.7683664407,17,1
2061,2061 Anza (1960 UA),16.7,1.214940408,2.7166893409,0.0536853979,0.10014365545714286,10.7463611954,7,0
2202,2202 Pele (1972 RA),16.99,1.0630531449,2.3770590956,0.1451846558,0.14965806183333333,7.3432813589,3,0
2212,2212 Hephaistos (1978 SB),13.45,5.4269394569,12.1350055355,0.0894180488,0.16347344669999997,33.8588234718,9,0
2608,2608 Seneca (1978 DA),17.48,0.8483107619,1.8968805296,0.0900396925,0.31488949179166664,25.2269076464,12,0
3122,3122 Florence (1981 ET3),14.08,4.0602705828,9.0790410302,0.0472367765,0.08346179921428572,14.6043629525,7,1
3551,3551 Verenia (1983 RD),16.72,1.2038017674,2.6917825833,0.0690341063,0.10728774458000001,9.7423944321,5,0
3752,3752 Camillo (1985 PA),15.14,2.4920398144,5.5723704277,0.080134862,0.12107297825999999,30.8778401154,10,0
3908,3908 Nyx (1980 PA),17.45,0.8601119401,1.9232687664,0.0579976837,0.09758819563,9.4962388673,10,0
4197,4197 Morpheus (1982 TA),14.97,2.6949764633,6.0261505697,0.0845562719,0.15796522115454545,28.8548638759,11,0
3102,3102 Krok (1981 QA),16.16,1.5579552413,3.4836938254,0.196608458,0.19771905423333336,6.2053377665,3,0
3103,3103 Eger (1982 BB),15.3,2.3150212221,5.176544822,0.1150862667,0.1433137165875,17.272948802,8,0
3200,3200 Phaethon (1983 TB),14.38,3.536347843,7.907514169,0.0198238862,0.09693753674666666,39.6463324376,15,1
3361,3361 Orpheus (1982 HR),19.5,0.3346223745,0.7482383761,0.0211268361,0.10024936002000001,13.5006266031,45,1
3362,3362 Khufu (1984 QA),18.52,0.5254785303,1.1750057146,0.0112588418,0.3579296387706162,30.110449291,211,1
3988,3988 Huma (1986 LA),17.95,0.6832111991,1.5277066841,0.1759689117,0.18704903456666666,7.9330954591,6,0
4034,4034 Vishnu (1986 PA),18.5,0.5303407233,1.1858779086,0.1407761715,0.16716831555454548,19.7117459587,22,1
4179,4179 Toutatis (1989 AC),15.29,2.3257068746,5.2004386672,0.0103571916,0.07539003303636363,20.0856349157,11,1
4183,4183 Cuno (1959 LM),14.18,3.8775283038,8.670416872,0.0611022913,0.13857509974374999,22.1417647471,16,1
3288,3288 Seleucus (1982 DV),15.34,2.2727673228,5.0820622309,0.1217831498,0.13969433763333333,6.8774676125,3,0
3360,3360 Syrinx (1981 VA),16.03,1.654074158,3.6986222571,0.0962422232,0.150160157625,26.0543266298,4,0
3554,3554 Amun (1986 EB),15.91,1.7480545317,3.9087687612,0.2507350491,0.33085408518333354,19.3906212928,144,0
3671,3671 Dionysus (1984 KD),16.5,1.332155667,2.978790628,0.0279966862,0.09366079886249998,14.5041829095,8,1
3753,3753 Cruithne (1986 TO),15.42,2.1905591097,4.898239078,0.0912686079,0.11998952807999999,16.6391713031,20,0
3757,3757 Anagolay (1982 XB),19.01,0.4193290755,0.9376483177,0.0377273503,0.09987729852727273,10.8941174534,11,1
4257,4257 Ubasti (1987 QA),15.97,1.7004151927,3.8022439609,0.1706292477,0.17939081195,25.0749515141,4,0
3838,3838 Epona (1986 WA),15.67,1.9523378616,4.3655601735,0.1972843301,0.198362973525,29.8296098577,4,0
4015,4015 Wilson-Harrington (1979 VA),16.16,1.5579552413,3.4836938254,0.0525435138,0.09858230511428571,13.8808666113,7,1
4341,4341 Poseidon (1987 KF),16.07,1.6238839022,3.6311147929,0.1951870073,0.19552416965,20.9930489591,2,0
4450,4450 Pan (1987 SY),17.27,0.9344476509,2.0894884689,0.0369065903,0.10102786434545456,23.9321985061,22,1
4769,4769 Castalia (1989 PB),17.38,0.8882904164,1.9862777548,0.0250771368,0.12168107517058825,20.8463423143,34,1
4947,4947 Ninkasi (1988 TJ1),18.07,0.6464798256,1.4455728362,0.1501264538,0.16614413458000002,8.5385069282,10,0
5011,5011 Ptah (6743 P-L),16.64,1.2489785407,2.7928009194,0.019511947,0.14268127999130434,17.4370250951,23,1
5590,5590 (1990 VA),19.91,0.2770479727,0.6194981001,0.1198506445,0.28783355131666666,23.5854402168,84,0
5645,5645 (1990 SP),17.23,0.9518203298,2.1283349598,0.0807794546,0.11651111633999998,15.574500982,15,0
4486,4486 Mithra (1987 SB),15.62,1.9978136523,4.4672471329,0.046542209,0.1375017971866667,22.6359629696,15,1
5143,5143 Heracles (1991 VL),14.04,4.1357566488,9.2478330051,0.0511206046,0.12221113679166666,30.2874582033,12,0
5324,5324 Lyapunov (1987 SL),15.35,2.2623249055,5.058712276,0.1822478443,0.18279648835,13.9620789804,2,0
5381,5381 Sekhmet (1991 JY),16.75,1.1872849879,2.6548499417,0.1127971167,0.1355238246391304,25.3072004597,23,0
4544,4544 Xanthus (1989 FB),17.39,0.8842090927,1.9771516375,0.1733300159,0.184317604655,11.2659299747,20,0
4660,4660 Nereus (1982 DB),18.75,0.4726666672,1.0569147985,0.0080084164,0.22342907292777772,20.9604800421,36,1
4688,4688 (1980 WF),19.6,0.3195618867,0.7145621017,0.1142675783,0.22539951827499993,15.9605599715,16,0
5189,5189 (1990 UQ),17.85,0.7154099509,1.599705282,0.051059434,0.1086116656576923,17.1559381486,26,1
5370,5370 Taranis (1986 RA),15.23,2.3908645717,5.3461357073,0.132539558,0.132539558,13.2119141977,1,0
5496,5496 (1973 NA),16.18,1.5436718218,3.4517551284,0.0765226166,0.10672724513333333,38.2171984587,6,0
5604,5604 (1992 FE),17.32,0.9131770255,2.0419259045,0.0335965722,0.10618776529545454,17.6047371481,44,1
4581,4581 Asclepius (1989 FC),20.74,0.1890405519,0.4227075246,0.0045723085,0.2759477106493826,25.5727946639,162,1
